repo,all_issues,issues_without_label,issues_with_label,label_usage_percentage
johannilsson/android-pulltorefresh,100,100,0,0.0
react-native-community/react-native-share,870,346,524,0.6022988505747127
Twitter4J/Twitter4J,358,358,0,0.0
apollographql/apollo-android,2584,1605,979,0.37886996904024767
sd6352051/NiftyDialogEffects,6,6,0,0.0
ata4/disunity,224,177,47,0.20982142857142858
balysv/material-menu,67,57,10,0.14925373134328357
bm-x/PhotoView,120,120,0,0.0
githubwing/ZoomHeader,9,9,0,0.0
liuyangming/ByteTCC,125,124,1,0.008
AltBeacon/android-beacon-library,990,924,66,0.06666666666666667
JakeWharton/Telecine,184,176,8,0.043478260869565216
alibaba/jetcache,507,497,10,0.01972386587771203
ozodrukh/CircularReveal,128,119,9,0.0703125
arcadefire/nice-spinner,170,146,24,0.1411764705882353
iPaulPro/Android-ItemTouchHelper-Demo,62,53,9,0.14516129032258066
pnikosis/materialish-progress,63,63,0,0.0
yangchong211/LifeHelper,32,32,0,0.0
saulmm/Material-Movies,33,33,0,0.0
h2database/h2database,2885,2690,195,0.06759098786828423
burhanrashid52/PhotoEditor,273,163,110,0.40293040293040294
yingLanNull/ShadowImageView,27,26,1,0.037037037037037035
javaee-samples/javaee7-samples,459,370,89,0.19389978213507625
jdsjlzx/LRecyclerView,358,349,9,0.025139664804469275
JCTools/JCTools,319,194,125,0.39184952978056425
Comcast/FreeFlow,92,83,9,0.09782608695652174
mxn21/FlowingDrawer,75,69,6,0.08
wildfly/wildfly,13485,10860,2625,0.1946607341490545
andOTP/andOTP,625,73,552,0.8832
macrozheng/springcloud-learning,11,11,0,0.0
yanzhenjie/AndServer,304,240,64,0.21052631578947367
Dimezis/BlurView,112,94,18,0.16071428571428573
